cidade_slug,cidade_origem,vende_ftth,vende_5g,vende_fwa,lancamento_comercial
pereiro-ce,PEREIRO/CE,true,true,true,2023-07-24
sao-miguel-rn,SAO MIGUEL/RN,true,true,true,2023-07-24
doutor-severiano-rn,DOUTOR SEVERIANO/RN,true,true,true,2023-08-30
iracema-ce,IRACEMA/CE,true,true,true,2023-08-31
tabuleiro-do-norte-ce,TABULEIRO DO NORTE/CE,true,true,true,2023-08-30
jaguaribe-ce,JAGUARIBE/CE,true,true,true,2023-08-21
acopiara-ce,ACOPIARA/CE,true,true,true,2023-08-30
pau-dos-ferros-rn,PAU DOS FERROS/RN,true,true,true,2023-08-21
limoeiro-do-norte-ce,LIMOEIRO DO NORTE/CE,true,true,true,2023-08-31
horizonte-ce,HORIZONTE/CE,true,true,true,2023-08-30
itapipoca-ce,ITAPIPOCA/CE,true,true,true,2023-08-30
potiretama-ce,POTIRETAMA/CE,false,true,true,2023-10-02
venha-ver-rn,VENHA VER/RN,false,true,true,2023-07-24
coronel-joao-pessoa-rn,CORONEL JOAO PESSOA/RN,true,true,true,2023-07-24
paraipaba-ce,PARAIPABA/CE,true,true,true,2023-10-16
ico-ce,ICO/CE,true,true,true,2023-09-04
barbalha-ce,BARBALHA/CE,true,true,true,2023-09-04
crato-ce,CRATO/CE,true,true,true,2023-09-04
juazeiro-do-norte-ce,JUAZEIRO DO NORTE/CE,true,true,true,2023-09-04
encanto-rn,ENCANTO/RN,true,true,true,2023-11-06
erere-ce,ERERE/CE,true,true,false,2023-10-27
jaguaretama-ce,JAGUARETAMA/CE,true,true,true,2023-10-09
solonopole-ce,SOLONOPOLE/CE,true,true,false,2024-04-17
banabuiu-ce,BANABUIU/CE,true,true,true,2023-10-16
piquet-carneiro-ce,PIQUET CARNEIRO/CE,false,true,true,2023-12-15
jucas-ce,JUCAS/CE,false,true,true,2023-12-15
pedra-branca-ce,PEDRA BRANCA/CE,true,true,true,2023-10-09
boa-viagem-ce,BOA VIAGEM/CE,true,true,false,2023-11-06
morada-nova-ce,MORADA NOVA/CE,true,true,true,2024-01-16
russas-ce,RUSSAS/CE,true,true,true,2024-02-28
quixeramobim-ce,QUIXERAMOBIM/CE,true,true,true,2023-10-09
quixada-ce,QUIXADA/CE,true,true,true,2024-01-11
iguatu-ce,IGUATU/CE,true,true,true,2023-10-09
milha-ce,MILHA/CE,true,true,false,2024-01-26
senador-pompeu-ce,SENADOR POMPEU/CE,true,true,true,2024-01-30
mombaca-ce,MOMBACA/CE,true,true,true,2024-01-11
ipu-ce,IPU/CE,true,true,true,2023-10-31
itaitinga-ce,ITAITINGA/CE,false,true,false,2024-03-18
agua-nova-rn,AGUA NOVA/RN,false,true,true,2024-01-11
