cidade_slug,cidade_origem,canal,tecnologia,mes_ref,meta,realizado,desvio
acarau-ce,ACARAU/CE,DONO CIDADE - LOJAS,5g,2026-01-01,80,59,-21
acarau-ce,ACARAU/CE,DONO CIDADE - LOJAS,ftth,2026-01-01,36,23,-13
acarau-ce,ACARAU/CE,PAP,5g,2026-01-01,30,13,-17
acarau-ce,ACARAU/CE,PAP,ftth,2026-01-01,180,9,-171
acopiara-ce,ACOPIARA/CE,LOJA,5g,2026-01-01,80,40,-40
acopiara-ce,ACOPIARA/CE,LOJA,ftth,2026-01-01,38,28,-10
acopiara-ce,ACOPIARA/CE,PAP,5g,2026-01-01,10,9,-1
acopiara-ce,ACOPIARA/CE,PAP,ftth,2026-01-01,60,15,-45
acu-rn,ACU/RN,DONO CIDADE - LOJAS,5g,2026-01-01,164,196,32
acu-rn,ACU/RN,DONO CIDADE - LOJAS,ftth,2026-01-01,64,53,-11
agua-nova-rn,AGUA NOVA/RN,PAP,5g,2026-01-01,10,7,-3
agua-nova-rn,AGUA NOVA/RN,PAP,ftth,2026-01-01,60,16,-44
alagoinhas-ba,ALAGOINHAS/BA,DONO CIDADE - LOJAS,ftth,2026-01-01,20,22,2
alagoinhas-ba,ALAGOINHAS/BA,LOJA,ftth,2026-01-01,20,23,3
altos-pi,ALTOS/PI,DONO CIDADE - LOJAS,ftth,2026-01-01,24,31,7
apodi-rn,APODI/RN,DONO CIDADE - LOJAS,5g,2026-01-01,96,96,0
apodi-rn,APODI/RN,PAP,ftth,2026-01-01,89,34,-55
aracaju-se,ARACAJU/SE,LOJA,ftth,2026-01-01,63,71,8
arapiraca-al,ARAPIRACA/AL,LOJA,ftth,2026-01-01,20,26,6
araripina-pe,ARARIPINA/PE,DONO CIDADE - LOJAS,5g,2026-01-01,40,46,6
araripina-pe,ARARIPINA/PE,DONO CIDADE - LOJAS,ftth,2026-01-01,30,31,1
araripina-pe,ARARIPINA/PE,PAP,ftth,2026-01-01,152,36,-116
arcoverde-pe,ARCOVERDE/PE,LOJA,5g,2026-01-01,20,20,0
arcoverde-pe,ARCOVERDE/PE,LOJA,ftth,2026-01-01,12,18,6
arcoverde-pe,ARCOVERDE/PE,PAP,ftth,2026-01-01,79,24,-55
banabuiu-ce,BANABUIU/CE,DONO CIDADE - LOJAS,5g,2026-01-01,47,38,-9
banabuiu-ce,BANABUIU/CE,DONO CIDADE - LOJAS,ftth,2026-01-01,30,25,-5
barauna-rn,BARAUNA/RN,DONO CIDADE - LOJAS,5g,2026-01-01,34,61,27
barauna-rn,BARAUNA/RN,DONO CIDADE - LOJAS,ftth,2026-01-01,13,14,1
barbalha-ce,BARBALHA/CE,DONO CIDADE - LOJAS,5g,2026-01-01,40,42,2
barbalha-ce,BARBALHA/CE,DONO CIDADE - LOJAS,ftth,2026-01-01,25,21,-4
barbalha-ce,BARBALHA/CE,PAP,5g,2026-01-01,9,4,-5
barbalha-ce,BARBALHA/CE,PAP,ftth,2026-01-01,57,5,-52
bayeux-pb,BAYEUX/PB,DONO CIDADE - LOJAS,5g,2026-01-01,45,51,6
bayeux-pb,BAYEUX/PB,DONO CIDADE - LOJAS,ftth,2026-01-01,21,25,4
bayeux-pb,BAYEUX/PB,PAP,ftth,2026-01-01,410,90,-320
belo-jardim-pe,BELO JARDIM/PE,LOJA,5g,2026-01-01,44,10,-34
belo-jardim-pe,BELO JARDIM/PE,LOJA,ftth,2026-01-01,32,17,-15
belo-jardim-pe,BELO JARDIM/PE,PAP,ftth,2026-01-01,181,20,-161
bezerros-pe,BEZERROS/PE,LOJA,5g,2026-01-01,50,39,-11
bezerros-pe,BEZERROS/PE,LOJA,ftth,2026-01-01,34,33,-1
bezerros-pe,BEZERROS/PE,PAP,5g,2026-01-01,11,31,20
bezerros-pe,BEZERROS/PE,PAP,ftth,2026-01-01,63,21,-42
bom-conselho-pe,BOM CONSELHO/PE,4 J LOJAS,5g,2026-01-01,30,19,-11
bom-conselho-pe,BOM CONSELHO/PE,4 J LOJAS,ftth,2026-01-01,14,11,-3
brejo-santo-ce,BREJO SANTO/CE,DONO CIDADE - LOJAS,5g,2026-01-01,42,40,-2
brejo-santo-ce,BREJO SANTO/CE,DONO CIDADE - LOJAS,ftth,2026-01-01,16,21,5
brejo-santo-ce,BREJO SANTO/CE,PAP,5g,2026-01-01,30,53,23
brejo-santo-ce,BREJO SANTO/CE,PAP,ftth,2026-01-01,180,49,-131
brejo-santo-ce,BREJO SANTO/CE,QUIOSQUES,5g,2026-01-01,10,33,23
brejo-santo-ce,BREJO SANTO/CE,QUIOSQUES,ftth,2026-01-01,60,20,-40
cabedelo-pb,CABEDELO/PB,LOJA,5g,2026-01-01,30,27,-3
cabedelo-pb,CABEDELO/PB,LOJA,ftth,2026-01-01,20,28,8
cabedelo-pb,CABEDELO/PB,PAP,ftth,2026-01-01,82,25,-57
cabo-de-santo-agostinho-pe,CABO DE SANTO AGOSTINHO/PE,LOJA,ftth,2026-01-01,30,42,12
caico-rn,CAICO/RN,LOJA,5g,2026-01-01,75,65,-10
caico-rn,CAICO/RN,LOJA,ftth,2026-01-01,35,19,-16
caico-rn,CAICO/RN,PAP,ftth,2026-01-01,152,44,-108
cajazeiras-pb,CAJAZEIRAS/PB,DONO CIDADE - LOJAS,5g,2026-01-01,96,57,-39
cajazeiras-pb,CAJAZEIRAS/PB,DONO CIDADE - LOJAS,ftth,2026-01-01,63,51,-12
cajazeiras-pb,CAJAZEIRAS/PB,PAP,ftth,2026-01-01,195,57,-138
camacari-ba,CAMACARI/BA,LOJA,ftth,2026-01-01,32,37,5
campina-grande-pb,CAMPINA GRANDE/PB,LOJA,5g,2026-01-01,135,76,-59
campina-grande-pb,CAMPINA GRANDE/PB,LOJA,ftth,2026-01-01,63,37,-26
campina-grande-pb,CAMPINA GRANDE/PB,PAP,ftth,2026-01-01,534,67,-467
campo-maior-pi,CAMPO MAIOR/PI,DONO CIDADE - LOJAS,ftth,2026-01-01,18,20,2
caninde-ce,CANINDE/CE,LOJA,5g,2026-01-01,56,65,9
caninde-ce,CANINDE/CE,LOJA,ftth,2026-01-01,29,24,-5
caninde-ce,CANINDE/CE,PAP,5g,2026-01-01,50,25,-25
caninde-ce,CANINDE/CE,PAP,ftth,2026-01-01,300,58,-242
caruaru-pe,CARUARU/PE,LOJA,5g,2026-01-01,42,68,26
caruaru-pe,CARUARU/PE,LOJA,ftth,2026-01-01,24,21,-3
caruaru-pe,CARUARU/PE,PAP,ftth,2026-01-01,728,117,-611
cascavel-ce,CASCAVEL/CE,DONO CIDADE - LOJAS,5g,2026-01-01,35,45,10
cascavel-ce,CASCAVEL/CE,DONO CIDADE - LOJAS,ftth,2026-01-01,17,16,-1
cascavel-ce,CASCAVEL/CE,PAP,5g,2026-01-01,30,55,25
cascavel-ce,CASCAVEL/CE,PAP,ftth,2026-01-01,180,28,-152
catole-do-rocha-pb,CATOLE DO ROCHA/PB,DONO CIDADE - LOJAS,5g,2026-01-01,64,71,7
catole-do-rocha-pb,CATOLE DO ROCHA/PB,DONO CIDADE - LOJAS,ftth,2026-01-01,24,38,14
catole-do-rocha-pb,CATOLE DO ROCHA/PB,PAP,5g,2026-01-01,20,4,-16
catole-do-rocha-pb,CATOLE DO ROCHA/PB,PAP,ftth,2026-01-01,120,17,-103
