data,UF,dia_semana_num,flag_feriado,nome_dia_semana,dias_trabalhado,dias_uteis_acumulado
2025-01-01,CE,4,SIM,QUA,0.0,0.0
2025-01-01,RN,4,SIM,QUA,0.0,0.0
2025-01-03,SC,6,NAO,SEX,1.0,1.0
2025-01-04,CE,7,NAO,SAB,0.5,0.5
2025-01-04,PB,7,NAO,SAB,0.5,0.5
2025-01-04,RN,7,NAO,SAB,0.5,0.5
2025-01-05,CE,1,SIM,DOM,0.0,0.5
2025-01-05,PB,1,SIM,DOM,0.0,0.5
2025-01-05,RN,1,SIM,DOM,0.0,0.5
2025-01-06,CE,2,NAO,SEG,1.0,1.5
2025-01-06,PB,2,NAO,SEG,1.0,1.5
2025-01-06,PE,2,NAO,SEG,1.0,1.0
2025-01-06,RN,2,NAO,SEG,1.0,1.5
2025-01-06,SC,2,NAO,SEG,1.0,2.0
2025-01-06,SP,2,NAO,SEG,1.0,1.0
2025-01-07,CE,3,NAO,TER,1.0,2.5
2025-01-07,PB,3,NAO,TER,1.0,2.5
2025-01-07,PE,3,NAO,TER,1.0,2.0
2025-01-07,PI,3,NAO,TER,1.0,1.0
2025-01-07,RN,3,NAO,TER,1.0,2.5
2025-01-08,CE,4,NAO,QUA,1.0,3.5
2025-01-08,PA,4,NAO,QUA,1.0,1.0
2025-01-08,PB,4,NAO,QUA,1.0,3.5
2025-01-08,PE,4,NAO,QUA,1.0,3.0
2025-01-08,RN,4,NAO,QUA,1.0,3.5
2025-01-09,CE,5,NAO,QUI,1.0,4.5
2025-01-09,PB,5,NAO,QUI,1.0,4.5
2025-01-09,PE,5,NAO,QUI,1.0,4.0
2025-01-09,RN,5,NAO,QUI,1.0,4.5
2025-01-10,CE,6,NAO,SEX,1.0,5.5
2025-01-10,MA,6,NAO,SEX,1.0,1.0
2025-01-10,PB,6,NAO,SEX,1.0,5.5
2025-01-10,PE,6,NAO,SEX,1.0,5.0
2025-01-10,RJ,6,NAO,SEX,1.0,1.0
2025-01-10,RN,6,NAO,SEX,1.0,5.5
2025-01-11,CE,7,NAO,SAB,0.5,6.0
2025-01-11,PA,7,NAO,SAB,0.5,1.5
2025-01-11,PB,7,NAO,SAB,0.5,6.0
2025-01-11,PE,7,NAO,SAB,0.0,5.0
2025-01-11,RN,7,NAO,SAB,0.5,6.0
2025-01-12,CE,1,SIM,DOM,0.0,6.0
2025-01-12,PB,1,SIM,DOM,0.0,6.0
2025-01-12,RN,1,SIM,DOM,0.0,6.0
2025-01-13,AM,2,NAO,SEG,1.0,1.0
2025-01-13,CE,2,NAO,SEG,1.0,7.0
2025-01-13,PB,2,NAO,SEG,1.0,7.0
2025-01-13,PE,2,NAO,SEG,1.0,6.0
2025-01-13,RN,2,NAO,SEG,1.0,7.0
2025-01-13,RR,2,NAO,SEG,1.0,1.0
2025-01-14,CE,3,NAO,TER,1.0,8.0
2025-01-14,PB,3,NAO,TER,1.0,8.0
2025-01-14,PE,3,NAO,TER,1.0,7.0
2025-01-14,RN,3,NAO,TER,1.0,8.0
2025-01-15,CE,4,NAO,QUA,1.0,9.0
2025-01-15,PB,4,NAO,QUA,1.0,9.0
2025-01-15,PE,4,NAO,QUA,1.0,8.0
2025-01-15,RN,4,NAO,QUA,1.0,9.0
2025-01-16,BA,5,NAO,QUI,1.0,1.0
2025-01-16,CE,5,NAO,QUI,1.0,10.0
2025-01-16,PB,5,NAO,QUI,1.0,10.0
2025-01-16,PE,5,NAO,QUI,1.0,9.0
2025-01-16,RN,5,NAO,QUI,1.0,10.0
2025-01-17,CE,6,NAO,SEX,1.0,11.0
2025-01-17,PB,6,NAO,SEX,1.0,11.0
2025-01-17,PE,6,NAO,SEX,1.0,10.0
2025-01-17,RN,6,NAO,SEX,1.0,11.0
2025-01-18,CE,7,NAO,SAB,0.5,11.5
2025-01-18,PB,7,NAO,SAB,0.5,11.5
2025-01-18,PE,7,NAO,SAB,0.0,10.0
2025-01-18,RN,7,NAO,SAB,0.5,11.5
2025-01-19,CE,1,SIM,DOM,0.0,11.5
2025-01-19,PB,1,SIM,DOM,0.0,11.5
2025-01-19,RN,1,SIM,DOM,0.0,11.5
2025-01-20,CE,2,NAO,SEG,1.0,12.5
2025-01-20,PB,2,NAO,SEG,1.0,12.5
2025-01-20,PE,2,NAO,SEG,1.0,11.0
2025-01-20,RN,2,NAO,SEG,1.0,12.5
2025-01-20,RS,2,NAO,SEG,1.0,1.0
2025-01-21,CE,3,NAO,TER,1.0,13.5
2025-01-21,PB,3,NAO,TER,1.0,13.5
2025-01-21,PE,3,NAO,TER,1.0,12.0
2025-01-21,RN,3,NAO,TER,1.0,13.5
2025-01-21,SP,3,NAO,TER,1.0,2.0
2025-01-22,CE,4,NAO,QUA,1.0,14.5
2025-01-22,MA,4,NAO,QUA,1.0,2.0
2025-01-22,PB,4,NAO,QUA,1.0,14.5
2025-01-22,PE,4,NAO,QUA,1.0,13.0
2025-01-22,PI,4,NAO,QUA,1.0,2.0
2025-01-22,RN,4,NAO,QUA,1.0,14.5
2025-01-23,CE,5,NAO,QUI,1.0,15.5
2025-01-23,PB,5,NAO,QUI,1.0,15.5
2025-01-23,PE,5,NAO,QUI,1.0,14.0
2025-01-23,PI,5,NAO,QUI,1.0,3.0
2025-01-23,RN,5,NAO,QUI,1.0,15.5
2025-01-24,CE,6,NAO,SEX,1.0,16.5
2025-01-24,MA,6,NAO,SEX,1.0,3.0
2025-01-24,PB,6,NAO,SEX,1.0,16.5
2025-01-24,PE,6,NAO,SEX,1.0,15.0
2025-01-24,RN,6,NAO,SEX,1.0,16.5
2025-01-25,AP,7,NAO,SAB,0.5,0.5
2025-01-25,BA,7,NAO,SAB,0.5,1.5
2025-01-25,CE,7,NAO,SAB,0.5,17.0
2025-01-25,PB,7,NAO,SAB,0.5,17.0
2025-01-25,PE,7,NAO,SAB,0.0,15.0
2025-01-25,PI,7,NAO,SAB,0.5,3.5
2025-01-25,RN,7,NAO,SAB,0.5,17.0
2025-01-26,CE,1,SIM,DOM,0.0,17.0
2025-01-26,PB,1,SIM,DOM,0.0,17.0
2025-01-26,PE,1,SIM,DOM,0.0,15.0
2025-01-26,RN,1,SIM,DOM,0.0,17.0
2025-01-27,AL,2,NAO,SEG,1.0,1.0
2025-01-27,CE,2,NAO,SEG,1.0,18.0
2025-01-27,PB,2,NAO,SEG,1.0,18.0
2025-01-27,PE,2,NAO,SEG,1.0,16.0
2025-01-27,PI,2,NAO,SEG,1.0,4.5
2025-01-27,RN,2,NAO,SEG,1.0,18.0
2025-01-28,CE,3,NAO,TER,1.0,19.0
2025-01-28,PB,3,NAO,TER,1.0,19.0
2025-01-28,PE,3,NAO,TER,1.0,17.0
2025-01-28,PI,3,NAO,TER,1.0,5.5
2025-01-28,RN,3,NAO,TER,1.0,19.0
2025-01-29,CE,4,NAO,QUA,1.0,20.0
2025-01-29,PB,4,NAO,QUA,1.0,20.0
2025-01-29,PE,4,NAO,QUA,1.0,18.0
2025-01-29,PI,4,NAO,QUA,1.0,6.5
2025-01-29,RN,4,NAO,QUA,1.0,20.0
2025-01-30,CE,5,NAO,QUI,1.0,21.0
2025-01-30,PB,5,NAO,QUI,1.0,21.0
2025-01-30,PE,5,NAO,QUI,1.0,19.0
2025-01-30,RN,5,NAO,QUI,1.0,21.0
2025-01-31,CE,6,NAO,SEX,1.0,22.0
2025-01-31,PB,6,NAO,SEX,1.0,22.0
2025-01-31,PE,6,NAO,SEX,1.0,20.0
2025-01-31,RN,6,NAO,SEX,1.0,22.0
2025-01-31,RS,6,NAO,SEX,1.0,2.0
2025-02-03,CE,2,NAO,SEG,1.0,1.0
2025-02-03,PB,2,NAO,SEG,1.0,1.0
2025-02-03,RN,2,NAO,SEG,1.0,1.0
2025-02-04,CE,3,NAO,TER,1.0,2.0
2025-02-04,PB,3,NAO,TER,1.0,2.0
2025-02-04,PE,3,NAO,TER,1.0,1.0
2025-02-04,RN,3,NAO,TER,1.0,2.0
2025-02-05,CE,4,NAO,QUA,1.0,3.0
2025-02-05,PB,4,NAO,QUA,1.0,3.0
2025-02-05,PE,4,NAO,QUA,1.0,2.0
2025-02-05,RN,4,NAO,QUA,1.0,3.0
2025-02-06,CE,5,NAO,QUI,1.0,4.0
2025-02-06,PB,5,NAO,QUI,1.0,4.0
2025-02-06,PE,5,NAO,QUI,1.0,3.0
2025-02-06,RN,5,NAO,QUI,1.0,4.0
2025-02-07,CE,6,NAO,SEX,1.0,5.0
2025-02-07,PB,6,NAO,SEX,1.0,5.0
2025-02-07,PE,6,NAO,SEX,1.0,4.0
2025-02-07,RN,6,NAO,SEX,1.0,5.0
2025-02-08,CE,7,NAO,SAB,0.5,5.5
2025-02-08,PB,7,NAO,SAB,0.5,5.5
2025-02-08,PE,7,NAO,SAB,0.0,4.0
2025-02-08,RN,7,NAO,SAB,0.5,5.5
2025-02-09,CE,1,SIM,DOM,0.0,5.5
2025-02-09,PB,1,SIM,DOM,0.0,5.5
2025-02-09,PI,1,SIM,DOM,0.0,0.0
2025-02-09,RN,1,SIM,DOM,0.0,5.5
2025-02-10,CE,2,NAO,SEG,1.0,6.5
2025-02-10,DF,2,NAO,SEG,1.0,1.0
2025-02-10,PB,2,NAO,SEG,1.0,6.5
2025-02-10,PE,2,NAO,SEG,1.0,5.0
2025-02-10,RN,2,NAO,SEG,1.0,6.5
2025-02-11,CE,3,NAO,TER,1.0,7.5
2025-02-11,MS,3,NAO,TER,1.0,1.0
2025-02-11,PB,3,NAO,TER,1.0,7.5
2025-02-11,PE,3,NAO,TER,1.0,6.0
2025-02-11,PI,3,NAO,TER,1.0,1.0
2025-02-11,RN,3,NAO,TER,1.0,7.5
2025-02-12,CE,4,NAO,QUA,1.0,8.5
2025-02-12,DF,4,NAO,QUA,1.0,2.0
2025-02-12,PB,4,NAO,QUA,1.0,8.5
2025-02-12,PE,4,NAO,QUA,1.0,7.0
2025-02-12,PI,4,NAO,QUA,1.0,2.0
2025-02-12,RN,4,NAO,QUA,1.0,8.5
2025-02-13,CE,5,NAO,QUI,1.0,9.5
2025-02-13,PB,5,NAO,QUI,1.0,9.5
2025-02-13,PE,5,NAO,QUI,1.0,8.0
2025-02-13,RN,5,NAO,QUI,1.0,9.5
2025-02-14,CE,6,NAO,SEX,1.0,10.5
2025-02-14,PB,6,NAO,SEX,1.0,10.5
2025-02-14,PE,6,NAO,SEX,1.0,9.0
2025-02-14,RN,6,NAO,SEX,1.0,10.5
2025-02-14,SP,6,NAO,SEX,1.0,1.0
2025-02-15,AL,7,NAO,SAB,0.5,0.5
2025-02-15,CE,7,NAO,SAB,0.5,11.0
2025-02-15,PA,7,NAO,SAB,0.5,0.5
2025-02-15,PB,7,NAO,SAB,0.5,11.0
2025-02-15,PE,7,NAO,SAB,0.0,9.0
2025-02-15,RN,7,NAO,SAB,0.5,11.0
2025-02-16,CE,1,SIM,DOM,0.0,11.0
2025-02-16,PB,1,SIM,DOM,0.0,11.0
2025-02-16,PE,1,SIM,DOM,0.0,9.0
2025-02-16,RN,1,SIM,DOM,0.0,11.0
2025-02-17,CE,2,NAO,SEG,1.0,12.0
2025-02-17,MA,2,NAO,SEG,1.0,1.0
2025-02-17,PA,2,NAO,SEG,1.0,1.5
2025-02-17,PB,2,NAO,SEG,1.0,12.0
2025-02-17,PE,2,NAO,SEG,1.0,10.0
2025-02-17,RN,2,NAO,SEG,1.0,12.0
2025-02-18,CE,3,NAO,TER,1.0,13.0
2025-02-18,MA,3,NAO,TER,1.0,2.0
2025-02-18,PB,3,NAO,TER,1.0,13.0
2025-02-18,PE,3,NAO,TER,1.0,11.0
2025-02-18,PI,3,NAO,TER,1.0,3.0
2025-02-18,RN,3,NAO,TER,1.0,13.0
2025-02-18,RS,3,NAO,TER,1.0,1.0
2025-02-18,SP,3,NAO,TER,1.0,2.0
2025-02-19,CE,4,NAO,QUA,1.0,14.0
2025-02-19,MA,4,NAO,QUA,1.0,3.0
2025-02-19,PB,4,NAO,QUA,1.0,14.0
2025-02-19,PE,4,NAO,QUA,1.0,12.0
2025-02-19,RN,4,NAO,QUA,1.0,14.0
2025-02-20,BA,5,NAO,QUI,1.0,1.0
2025-02-20,CE,5,NAO,QUI,1.0,15.0
2025-02-20,PB,5,NAO,QUI,1.0,15.0
2025-02-20,PE,5,NAO,QUI,1.0,13.0
2025-02-20,PI,5,NAO,QUI,1.0,4.0
2025-02-20,RN,5,NAO,QUI,1.0,15.0
2025-02-21,BA,6,NAO,SEX,1.0,2.0
2025-02-21,CE,6,NAO,SEX,1.0,16.0
2025-02-21,MA,6,NAO,SEX,1.0,4.0
2025-02-21,PB,6,NAO,SEX,1.0,16.0
2025-02-21,PE,6,NAO,SEX,1.0,14.0
2025-02-21,PI,6,NAO,SEX,1.0,5.0
2025-02-21,RN,6,NAO,SEX,1.0,16.0
2025-02-21,RS,6,NAO,SEX,1.0,2.0
2025-02-22,CE,7,NAO,SAB,0.5,16.5
2025-02-22,PB,7,NAO,SAB,0.5,16.5
