cidade_slug,cidade_origem,tecnologia,indicador_id,canal,mes_ref,semana_mes,primeiro_dia_semana,ultimo_dia_semana,valor
abaiara-ce,ABAIARA/CE,5g,ativacao,AGILITY,2025-07-01,,,,41
abaiara-ce,ABAIARA/CE,5g,ativacao,LOJA,2025-07-01,,,,3
acarape-ce,ACARAPE/CE,5g,ativacao,AGILITY,2025-07-01,,,,47
acarau-ce,ACARAU/CE,5g,ativacao,LOJA,2025-07-01,,,,49
acarau-ce,ACARAU/CE,5g,ativacao,PAP,2025-07-01,,,,71
acarau-ce,ACARAU/CE,5g,ativacao,SEM NICHO,2025-07-01,,,,7
acarau-ce,ACARAU/CE,5g,ativacao,VAREJO REDES,2025-07-01,,,,12
acopiara-ce,ACOPIARA/CE,5g,ativacao,INDICA BRISA,2025-07-01,,,,16
acopiara-ce,ACOPIARA/CE,5g,ativacao,LOJA,2025-07-01,,,,47
acopiara-ce,ACOPIARA/CE,5g,ativacao,PAP,2025-07-01,,,,29
acu-rn,ACU/RN,5g,ativacao,INDICA BRISA,2025-07-01,,,,20
acu-rn,ACU/RN,5g,ativacao,LOJA,2025-07-01,,,,71
acu-rn,ACU/RN,5g,ativacao,PAP,2025-07-01,,,,99
acu-rn,ACU/RN,5g,ativacao,VAREJO REDES,2025-07-01,,,,84
agua-nova-rn,AGUA NOVA/RN,5g,ativacao,LOJA,2025-07-01,,,,4
agua-nova-rn,AGUA NOVA/RN,5g,ativacao,PAP,2025-07-01,,,,15
aiuaba-ce,AIUABA/CE,5g,ativacao,AGENTE PARCEIROS,2025-07-01,,,,8
aiuaba-ce,AIUABA/CE,5g,ativacao,PAP,2025-07-01,,,,41
alagoa-grande-pb,ALAGOA GRANDE/PB,5g,ativacao,VAREJO REDES,2025-07-01,,,,1
alcantaras-ce,ALCANTARAS/CE,5g,ativacao,LOJA,2025-07-01,,,,1
alcantaras-ce,ALCANTARAS/CE,5g,ativacao,PAP,2025-07-01,,,,2
alexandria-rn,ALEXANDRIA/RN,5g,ativacao,AGILITY,2025-07-01,,,,37
alhandra-pb,ALHANDRA/PB,5g,ativacao,VAREJO QUIOSQUE,2025-07-01,,,,2
altaneira-ce,ALTANEIRA/CE,5g,ativacao,AGENTE PARCEIROS,2025-07-01,,,,29
alto-do-rodrigues-rn,ALTO DO RODRIGUES/RN,5g,ativacao,PAP,2025-07-01,,,,56
alto-santo-ce,ALTO SANTO/CE,5g,ativacao,AGILITY,2025-07-01,,,,54
alto-santo-ce,ALTO SANTO/CE,5g,ativacao,PAP,2025-07-01,,,,2
amontada-ce,AMONTADA/CE,5g,ativacao,AGILITY,2025-07-01,,,,57
amontada-ce,AMONTADA/CE,5g,ativacao,LOJA,2025-07-01,,,,2
amontada-ce,AMONTADA/CE,5g,ativacao,PAP,2025-07-01,,,,3
amontada-ce,AMONTADA/CE,5g,ativacao,VAREJO REDES,2025-07-01,,,,12
angicos-rn,ANGICOS/RN,5g,ativacao,AGILITY,2025-07-01,,,,83
angicos-rn,ANGICOS/RN,5g,ativacao,PAP,2025-07-01,,,,1
antonina-do-norte-ce,ANTONINA DO NORTE/CE,5g,ativacao,PAP,2025-07-01,,,,22
aparecida-de-goiania-go,APARECIDA DE GOIANIA/GO,5g,ativacao,PAP,2025-07-01,,,,1
aparecida-pb,APARECIDA/PB,5g,ativacao,PAP,2025-07-01,,,,5
apodi-rn,APODI/RN,5g,ativacao,LOJA,2025-07-01,,,,79
apodi-rn,APODI/RN,5g,ativacao,PAP,2025-07-01,,,,132
apuiares-ce,APUIARES/CE,5g,ativacao,AGILITY,2025-07-01,,,,10
apuiares-ce,APUIARES/CE,5g,ativacao,VAREJO REDES,2025-07-01,,,,4
aquiraz-ce,AQUIRAZ/CE,5g,ativacao,AGILITY,2025-07-01,,,,1
aquiraz-ce,AQUIRAZ/CE,5g,ativacao,INDICA BRISA,2025-07-01,,,,11
aquiraz-ce,AQUIRAZ/CE,5g,ativacao,LOJA,2025-07-01,,,,19
aquiraz-ce,AQUIRAZ/CE,5g,ativacao,NGC,2025-07-01,,,,3
aquiraz-ce,AQUIRAZ/CE,5g,ativacao,PAP,2025-07-01,,,,90
aquiraz-ce,AQUIRAZ/CE,5g,ativacao,VAREJO REDES,2025-07-01,,,,42
aracati-ce,ARACATI/CE,5g,ativacao,AGILITY,2025-07-01,,,,553
aracati-ce,ARACATI/CE,5g,ativacao,INDICA BRISA,2025-07-01,,,,49
aracati-ce,ARACATI/CE,5g,ativacao,LOJA,2025-07-01,,,,3
aracati-ce,ARACATI/CE,5g,ativacao,VAREJO REDES,2025-07-01,,,,11
aracoiaba-ce,ARACOIABA/CE,5g,ativacao,AGILITY,2025-07-01,,,,126
aracoiaba-ce,ARACOIABA/CE,5g,ativacao,VAREJO REDES,2025-07-01,,,,4
araioses-ma,ARAIOSES/MA,5g,ativacao,VAREJO REDES,2025-07-01,,,,1
arara-pb,ARARA/PB,5g,ativacao,LOJA,2025-07-01,,,,2
arara-pb,ARARA/PB,5g,ativacao,PAP,2025-07-01,,,,24
araripina-pe,ARARIPINA/PE,5g,ativacao,AGENTE PARCEIROS,2025-07-01,,,,211
araripina-pe,ARARIPINA/PE,5g,ativacao,LOJA,2025-07-01,,,,20
araripina-pe,ARARIPINA/PE,5g,ativacao,PAP,2025-07-01,,,,54
arcoverde-pe,ARCOVERDE/PE,5g,ativacao,LOJA,2025-07-01,,,,34
arcoverde-pe,ARCOVERDE/PE,5g,ativacao,PAP,2025-07-01,,,,34
areia-branca-rn,AREIA BRANCA/RN,5g,ativacao,LOJA,2025-07-01,,,,2
areia-branca-rn,AREIA BRANCA/RN,5g,ativacao,VAREJO REDES,2025-07-01,,,,51
assare-ce,ASSARE/CE,5g,ativacao,AGENTE PARCEIROS,2025-07-01,,,,3
aurora-ce,AURORA/CE,5g,ativacao,PAP,2025-07-01,,,,49
banabuiu-ce,BANABUIU/CE,5g,ativacao,LOJA,2025-07-01,,,,45
banabuiu-ce,BANABUIU/CE,5g,ativacao,PAP,2025-07-01,,,,23
barauna-rn,BARAUNA/RN,5g,ativacao,INDICA BRISA,2025-07-01,,,,4
barauna-rn,BARAUNA/RN,5g,ativacao,LOJA,2025-07-01,,,,56
barauna-rn,BARAUNA/RN,5g,ativacao,PAP,2025-07-01,,,,18
barauna-rn,BARAUNA/RN,5g,ativacao,VAREJO REDES,2025-07-01,,,,11
barbalha-ce,BARBALHA/CE,5g,ativacao,AGENTE PARCEIROS,2025-07-01,,,,355
barbalha-ce,BARBALHA/CE,5g,ativacao,INDICA BRISA,2025-07-01,,,,38
barbalha-ce,BARBALHA/CE,5g,ativacao,LOJA,2025-07-01,,,,95
barbalha-ce,BARBALHA/CE,5g,ativacao,PAP,2025-07-01,,,,147
barbalha-ce,BARBALHA/CE,5g,ativacao,VAREJO QUIOSQUE,2025-07-01,,,,4
barbalha-ce,BARBALHA/CE,5g,ativacao,VAREJO VOLANTE,2025-07-01,,,,2
barro-ce,BARRO/CE,5g,ativacao,PAP,2025-07-01,,,,96
barroquinha-ce,BARROQUINHA/CE,5g,ativacao,PAP,2025-07-01,,,,31
baturite-ce,BATURITE/CE,5g,ativacao,AGILITY,2025-07-01,,,,5
bayeux-pb,BAYEUX/PB,5g,ativacao,INDICA BRISA,2025-07-01,,,,58
bayeux-pb,BAYEUX/PB,5g,ativacao,LOJA,2025-07-01,,,,76
bayeux-pb,BAYEUX/PB,5g,ativacao,NGC,2025-07-01,,,,17
bayeux-pb,BAYEUX/PB,5g,ativacao,PAP,2025-07-01,,,,78
beberibe-ce,BEBERIBE/CE,5g,ativacao,AGILITY,2025-07-01,,,,411
beberibe-ce,BEBERIBE/CE,5g,ativacao,INDICA BRISA,2025-07-01,,,,2
beberibe-ce,BEBERIBE/CE,5g,ativacao,PAP,2025-07-01,,,,4
beberibe-ce,BEBERIBE/CE,5g,ativacao,VAREJO REDES,2025-07-01,,,,4
bela-cruz-ce,BELA CRUZ/CE,5g,ativacao,PAP,2025-07-01,,,,69
belem-pa,BELEM/PA,5g,ativacao,VAREJO REDES,2025-07-01,,,,1
belo-jardim-pe,BELO JARDIM/PE,5g,ativacao,INDICA BRISA,2025-07-01,,,,10
belo-jardim-pe,BELO JARDIM/PE,5g,ativacao,LOJA,2025-07-01,,,,16
belo-jardim-pe,BELO JARDIM/PE,5g,ativacao,PAP,2025-07-01,,,,29
bento-fernandes-rn,BENTO FERNANDES/RN,5g,ativacao,VAREJO REDES,2025-07-01,,,,1
bezerros-pe,BEZERROS/PE,5g,ativacao,LOJA,2025-07-01,,,,48
bezerros-pe,BEZERROS/PE,5g,ativacao,PAP,2025-07-01,,,,71
boa-saude-rn,BOA SAUDE/RN,5g,ativacao,LOJA,2025-07-01,,,,1
boa-viagem-ce,BOA VIAGEM/CE,5g,ativacao,PAP,2025-07-01,,,,153
boa-viagem-ce,BOA VIAGEM/CE,5g,ativacao,VAREJO REDES,2025-07-01,,,,7
bom-conselho-pe,BOM CONSELHO/PE,5g,ativacao,INDICA BRISA,2025-07-01,,,,8
bom-conselho-pe,BOM CONSELHO/PE,5g,ativacao,PAP,2025-07-01,,,,41
brejo-dos-santos-pb,BREJO DOS SANTOS/PB,5g,ativacao,PAP,2025-07-01,,,,1
brejo-santo-ce,BREJO SANTO/CE,5g,ativacao,AGILITY,2025-07-01,,,,24
brejo-santo-ce,BREJO SANTO/CE,5g,ativacao,INDICA BRISA,2025-07-01,,,,27
brejo-santo-ce,BREJO SANTO/CE,5g,ativacao,LOJA,2025-07-01,,,,75
brejo-santo-ce,BREJO SANTO/CE,5g,ativacao,PAP,2025-07-01,,,,219
brejo-santo-ce,BREJO SANTO/CE,5g,ativacao,VAREJO QUIOSQUE,2025-07-01,,,,4
brejo-santo-ce,BREJO SANTO/CE,5g,ativacao,VAREJO VOLANTE,2025-07-01,,,,7
buriti-dos-montes-pi,BURITI DOS MONTES/PI,5g,ativacao,LOJA,2025-07-01,,,,1
buriti-dos-montes-pi,BURITI DOS MONTES/PI,5g,ativacao,PAP,2025-07-01,,,,2
caapora-pb,CAAPORA/PB,5g,ativacao,VAREJO VOLANTE,2025-07-01,,,,1
cabedelo-pb,CABEDELO/PB,5g,ativacao,LOJA,2025-07-01,,,,6
cabrobo-pe,CABROBO/PE,5g,ativacao,PAP,2025-07-01,,,,1
cachoeira-dos-indios-pb,CACHOEIRA DOS INDIOS/PB,5g,ativacao,PAP,2025-07-01,,,,22
cacimba-de-dentro-pb,CACIMBA DE DENTRO/PB,5g,ativacao,PAP,2025-07-01,,,,4
caicara-do-rio-do-vento-rn,CAICARA DO RIO DO VENTO/RN,5g,ativacao,AGILITY,2025-07-01,,,,37
caicara-do-rio-do-vento-rn,CAICARA DO RIO DO VENTO/RN,5g,ativacao,LOJA,2025-07-01,,,,1
caico-rn,CAICO/RN,5g,ativacao,LOJA,2025-07-01,,,,96
cajazeiras-pb,CAJAZEIRAS/PB,5g,ativacao,INDICA BRISA,2025-07-01,,,,9
cajazeiras-pb,CAJAZEIRAS/PB,5g,ativacao,LOJA,2025-07-01,,,,23
cajazeiras-pb,CAJAZEIRAS/PB,5g,ativacao,PAP,2025-07-01,,,,152
cajazeiras-pb,CAJAZEIRAS/PB,5g,ativacao,SEM NICHO,2025-07-01,,,,3
camaragibe-pe,CAMARAGIBE/PE,5g,ativacao,LOJA,2025-07-01,,,,2
camocim-ce,CAMOCIM/CE,5g,ativacao,INDICA BRISA,2025-07-01,,,,56
camocim-ce,CAMOCIM/CE,5g,ativacao,PAP,2025-07-01,,,,182
campina-grande-pb,CAMPINA GRANDE/PB,5g,ativacao,B2B,2025-07-01,,,,2
campina-grande-pb,CAMPINA GRANDE/PB,5g,ativacao,INDICA BRISA,2025-07-01,,,,172
campina-grande-pb,CAMPINA GRANDE/PB,5g,ativacao,LOJA,2025-07-01,,,,59
campina-grande-pb,CAMPINA GRANDE/PB,5g,ativacao,PAP,2025-07-01,,,,266
campina-grande-pb,CAMPINA GRANDE/PB,5g,ativacao,SEM NICHO,2025-07-01,,,,37
campina-grande-pb,CAMPINA GRANDE/PB,5g,ativacao,VAREJO QUIOSQUE,2025-07-01,,,,41
campina-grande-pb,CAMPINA GRANDE/PB,5g,ativacao,VAREJO REDES,2025-07-01,,,,14
campos-sales-ce,CAMPOS SALES/CE,5g,ativacao,AGENTE PARCEIROS,2025-07-01,,,,149
campos-sales-ce,CAMPOS SALES/CE,5g,ativacao,PAP,2025-07-01,,,,3
canguaretama-rn,CANGUARETAMA/RN,5g,ativacao,NGC,2025-07-01,,,,3
canguaretama-rn,CANGUARETAMA/RN,5g,ativacao,VAREJO QUIOSQUE,2025-07-01,,,,3
canguaretama-rn,CANGUARETAMA/RN,5g,ativacao,VAREJO VOLANTE,2025-07-01,,,,10
caninde-de-sao-francisco-se,CANINDE DE SAO FRANCISCO/SE,5g,ativacao,LOJA,2025-07-01,,,,8
caninde-de-sao-francisco-se,CANINDE DE SAO FRANCISCO/SE,5g,ativacao,PAP,2025-07-01,,,,83
caninde-ce,CANINDE/CE,5g,ativacao,LOJA,2025-07-01,,,,78
caninde-ce,CANINDE/CE,5g,ativacao,PAP,2025-07-01,,,,166
caraubas-rn,CARAUBAS/RN,5g,ativacao,AGILITY,2025-07-01,,,,54
caridade-ce,CARIDADE/CE,5g,ativacao,PAP,2025-07-01,,,,62
carire-ce,CARIRE/CE,5g,ativacao,AGILITY,2025-07-01,,,,94
caririacu-ce,CARIRIACU/CE,5g,ativacao,LOJA,2025-07-01,,,,14
caririacu-ce,CARIRIACU/CE,5g,ativacao,PAP,2025-07-01,,,,101
caririacu-ce,CARIRIACU/CE,5g,ativacao,VAREJO REDES,2025-07-01,,,,17
carius-ce,CARIUS/CE,5g,ativacao,PAP,2025-07-01,,,,17
carnaubais-rn,CARNAUBAIS/RN,5g,ativacao,VAREJO REDES,2025-07-01,,,,4
carnaubal-ce,CARNAUBAL/CE,5g,ativacao,LOJA,2025-07-01,,,,2
carnaubal-ce,CARNAUBAL/CE,5g,ativacao,PAP,2025-07-01,,,,12
caruaru-pe,CARUARU/PE,5g,ativacao,INDICA BRISA,2025-07-01,,,,52
caruaru-pe,CARUARU/PE,5g,ativacao,LOJA,2025-07-01,,,,56
caruaru-pe,CARUARU/PE,5g,ativacao,PAP,2025-07-01,,,,195
caruaru-pe,CARUARU/PE,5g,ativacao,SEM NICHO,2025-07-01,,,,31
caruaru-pe,CARUARU/PE,5g,ativacao,VAREJO QUIOSQUE,2025-07-01,,,,19
cascavel-ce,CASCAVEL/CE,5g,ativacao,AGILITY,2025-07-01,,,,15
cascavel-ce,CASCAVEL/CE,5g,ativacao,INDICA BRISA,2025-07-01,,,,20
cascavel-ce,CASCAVEL/CE,5g,ativacao,LOJA,2025-07-01,,,,91
cascavel-ce,CASCAVEL/CE,5g,ativacao,PAP,2025-07-01,,,,113
cascavel-ce,CASCAVEL/CE,5g,ativacao,VAREJO QUIOSQUE,2025-07-01,,,,2
cascavel-ce,CASCAVEL/CE,5g,ativacao,VAREJO REDES,2025-07-01,,,,27
catole-do-rocha-pb,CATOLE DO ROCHA/PB,5g,ativacao,LOJA,2025-07-01,,,,85
catole-do-rocha-pb,CATOLE DO ROCHA/PB,5g,ativacao,PAP,2025-07-01,,,,43
catunda-ce,CATUNDA/CE,5g,ativacao,PAP,2025-07-01,,,,6
catunda-ce,CATUNDA/CE,5g,ativacao,VAREJO REDES,2025-07-01,,,,15
caucaia-ce,CAUCAIA/CE,5g,ativacao,AGENTE PARCEIROS,2025-07-01,,,,54
caucaia-ce,CAUCAIA/CE,5g,ativacao,B2B,2025-07-01,,,,24
caucaia-ce,CAUCAIA/CE,5g,ativacao,INDICA BRISA,2025-07-01,,,,197
caucaia-ce,CAUCAIA/CE,5g,ativacao,LOJA,2025-07-01,,,,296
caucaia-ce,CAUCAIA/CE,5g,ativacao,PAP,2025-07-01,,,,369
caucaia-ce,CAUCAIA/CE,5g,ativacao,SEM NICHO,2025-07-01,,,,16
caucaia-ce,CAUCAIA/CE,5g,ativacao,VAREJO QUIOSQUE,2025-07-01,,,,122
caucaia-ce,CAUCAIA/CE,5g,ativacao,VAREJO REDES,2025-07-01,,,,702
caucaia-ce,CAUCAIA/CE,5g,ativacao,VAREJO VOLANTE,2025-07-01,,,,86
ceara-mirim-rn,CEARA MIRIM/RN,5g,ativacao,INDICA BRISA,2025-07-01,,,,44
ceara-mirim-rn,CEARA MIRIM/RN,5g,ativacao,LOJA,2025-07-01,,,,64
ceara-mirim-rn,CEARA MIRIM/RN,5g,ativacao,NGC,2025-07-01,,,,5
ceara-mirim-rn,CEARA MIRIM/RN,5g,ativacao,PAP,2025-07-01,,,,219
ceara-mirim-rn,CEARA MIRIM/RN,5g,ativacao,VAREJO QUIOSQUE,2025-07-01,,,,5
ceara-mirim-rn,CEARA MIRIM/RN,5g,ativacao,VAREJO REDES,2025-07-01,,,,14
ceara-mirim-rn,CEARA MIRIM/RN,5g,ativacao,VAREJO VOLANTE,2025-07-01,,,,3
cedro-ce,CEDRO/CE,5g,ativacao,LOJA,2025-07-01,,,,41
cedro-ce,CEDRO/CE,5g,ativacao,PAP,2025-07-01,,,,20
cha-de-alegria-pe,CHA DE ALEGRIA/PE,5g,ativacao,PAP,2025-07-01,,,,25
cha-grande-pe,CHA GRANDE/PE,5g,ativacao,PAP,2025-07-01,,,,28
chaval-ce,CHAVAL/CE,5g,ativacao,PAP,2025-07-01,,,,42
chorozinho-ce,CHOROZINHO/CE,5g,ativacao,LOJA,2025-07-01,,,,7
chorozinho-ce,CHOROZINHO/CE,5g,ativacao,PAP,2025-07-01,,,,13
conde-pb,CONDE/PB,5g,ativacao,PAP,2025-07-01,,,,30
coronel-ezequiel-rn,CORONEL EZEQUIEL/RN,5g,ativacao,PAP,2025-07-01,,,,2
coronel-joao-pessoa-rn,CORONEL JOAO PESSOA/RN,5g,ativacao,INDICA BRISA,2025-07-01,,,,6
coronel-joao-pessoa-rn,CORONEL JOAO PESSOA/RN,5g,ativacao,LOJA,2025-07-01,,,,5
coronel-joao-pessoa-rn,CORONEL JOAO PESSOA/RN,5g,ativacao,PAP,2025-07-01,,,,29
crateus-ce,CRATEUS/CE,5g,ativacao,AGENTE PARCEIROS,2025-07-01,,,,155
crateus-ce,CRATEUS/CE,5g,ativacao,AGILITY,2025-07-01,,,,8
crateus-ce,CRATEUS/CE,5g,ativacao,AGILITY - AGENTE,2025-07-01,,,,277
crateus-ce,CRATEUS/CE,5g,ativacao,LOJA,2025-07-01,,,,90
crateus-ce,CRATEUS/CE,5g,ativacao,PAP,2025-07-01,,,,74
crateus-ce,CRATEUS/CE,5g,ativacao,VAREJO REDES,2025-07-01,,,,3
crato-ce,CRATO/CE,5g,ativacao,AGENTE PARCEIROS,2025-07-01,,,,292
crato-ce,CRATO/CE,5g,ativacao,INDICA BRISA,2025-07-01,,,,49
crato-ce,CRATO/CE,5g,ativacao,LOJA,2025-07-01,,,,167
crato-ce,CRATO/CE,5g,ativacao,PAP,2025-07-01,,,,175
crato-ce,CRATO/CE,5g,ativacao,VAREJO REDES,2025-07-01,,,,36
croata-ce,CROATA/CE,5g,ativacao,PAP,2025-07-01,,,,29
cruz-do-espirito-santo-pb,CRUZ DO ESPIRITO SANTO/PB,5g,ativacao,VAREJO REDES,2025-07-01,,,,4
cruz-ce,CRUZ/CE,5g,ativacao,AGILITY,2025-07-01,,,,18
cruz-ce,CRUZ/CE,5g,ativacao,PAP,2025-07-01,,,,2
cumaru-pe,CUMARU/PE,5g,ativacao,LOJA,2025-07-01,,,,1
curitiba-pr,CURITIBA/PR,5g,ativacao,VAREJO REDES,2025-07-01,,,,1
currais-novos-rn,CURRAIS NOVOS/RN,5g,ativacao,AGILITY,2025-07-01,,,,26
custodia-pe,CUSTODIA/PE,5g,ativacao,INDICA BRISA,2025-07-01,,,,8
custodia-pe,CUSTODIA/PE,5g,ativacao,LOJA,2025-07-01,,,,46
custodia-pe,CUSTODIA/PE,5g,ativacao,PAP,2025-07-01,,,,28
delmiro-gouveia-al,DELMIRO GOUVEIA/AL,5g,ativacao,LOJA,2025-07-01,,,,12
delmiro-gouveia-al,DELMIRO GOUVEIA/AL,5g,ativacao,SEM NICHO,2025-07-01,,,,3
deputado-irapuan-pinheiro-ce,DEPUTADO IRAPUAN PINHEIRO/CE,5g,ativacao,AGILITY,2025-07-01,,,,14
doutor-severiano-rn,DOUTOR SEVERIANO/RN,5g,ativacao,INDICA BRISA,2025-07-01,,,,14
doutor-severiano-rn,DOUTOR SEVERIANO/RN,5g,ativacao,LOJA,2025-07-01,,,,8
doutor-severiano-rn,DOUTOR SEVERIANO/RN,5g,ativacao,PAP,2025-07-01,,,,41
encanto-rn,ENCANTO/RN,5g,ativacao,LOJA,2025-07-01,,,,13
