cidade_slug,cidade_origem,tecnologia,indicador_id,mes_ref,semana_mes,valor
,,5g,ativacao,2026-07-01,,1371
,,ftth,efetivado,2026-07-01,,13
acarape-ce,ACARAPE / CE,5g,ativacao,2026-07-01,,121
acarau-ce,ACARAU / CE,5g,ativacao,2026-07-01,,173
acopiara-ce,ACOPIARA / CE,5g,ativacao,2026-07-01,,101
acopiara-ce,ACOPIARA / CE,ftth,efetivado,2026-07-01,,37
alagoinhas-ba,ALAGOINHAS / BA,ftth,orcamento,2026-07-01,,164
altaneira-ce,ALTANEIRA / CE,5g,ativacao,2026-07-01,,81
altos-pi,ALTOS / PI,ftth,efetivado,2026-07-01,,39
angicos-rn,ANGICOS / RN,5g,ativacao,2026-07-01,,28
apodi-rn,APODI / RN,5g,ativacao,2026-07-01,,44
aracaju-se,ARACAJU / SE,ftth,orcamento,2026-07-01,,750
aracaju-se,ARACAJU / SE,ftth,efetivado,2026-07-01,,587
aracaju-se,ARACAJU / SE,ftth,instalacao,2026-07-01,,468
aracati-ce,ARACATI / CE,5g,ativacao,2026-07-01,,140
aracoiaba-ce,ARACOIABA / CE,5g,ativacao,2026-07-01,,23
arapiraca-al,ARAPIRACA / AL,ftth,orcamento,2026-07-01,,152
arapiraca-al,ARAPIRACA / AL,ftth,instalacao,2026-07-01,,110
araripina-pe,ARARIPINA / PE,5g,ativacao,2026-07-01,,76
araripina-pe,ARARIPINA / PE,ftth,efetivado,2026-07-01,,32
areia-branca-rn,AREIA BRANCA / RN,5g,ativacao,2026-07-01,,76
baia-formosa-rn,BAIA FORMOSA / RN,5g,ativacao,2026-07-01,,3
banabuiu-ce,BANABUIU / CE,5g,ativacao,2026-07-01,,39
barbalha-ce,BARBALHA / CE,5g,ativacao,2026-07-01,,74
barbalha-ce,BARBALHA / CE,ftth,orcamento,2026-07-01,,119
barbalha-ce,BARBALHA / CE,ftth,efetivado,2026-07-01,,101
bayeux-pb,BAYEUX / PB,ftth,orcamento,2026-07-01,,125
belo-jardim-pe,BELO JARDIM / PE,ftth,instalacao,2026-07-01,,22
bezerros-pe,BEZERROS / PE,ftth,orcamento,2026-07-01,,33
bezerros-pe,BEZERROS / PE,ftth,efetivado,2026-07-01,,33
boa-viagem-ce,BOA VIAGEM / CE,5g,ativacao,2026-07-01,,29
brejo-do-cruz-pb,BREJO DO CRUZ / PB,5g,ativacao,2026-07-01,,55
brejo-santo-ce,BREJO SANTO / CE,5g,ativacao,2026-07-01,,124
brejo-santo-ce,BREJO SANTO / CE,ftth,orcamento,2026-07-01,,94
brejo-santo-ce,BREJO SANTO / CE,ftth,efetivado,2026-07-01,,82
cabo-de-santo-agostinho-pe,CABO DE SANTO AGOSTINHO / PE,ftth,efetivado,2026-07-01,,105
cabo-de-santo-agostinho-pe,CABO DE SANTO AGOSTINHO / PE,ftth,orcamento,2026-07-01,,129
caico-rn,CAICO / RN,5g,ativacao,2026-07-01,,143
caico-rn,CAICO / RN,ftth,orcamento,2026-07-01,,64
cajari-ma,CAJARI  / MA,5g,ativacao,2026-07-01,,7
cajazeiras-pb,CAJAZEIRAS / PB,5g,ativacao,2026-07-01,,119
cajazeiras-pb,CAJAZEIRAS / PB,ftth,instalacao,2026-07-01,,83
camacari-ba,CAMACARI / BA,ftth,efetivado,2026-07-01,,259
camaragibe-pe,CAMARAGIBE / PE,ftth,efetivado,2026-07-01,,112
camaragibe-pe,CAMARAGIBE / PE,ftth,orcamento,2026-07-01,,146
camocim-ce,CAMOCIM / CE,5g,ativacao,2026-07-01,,222
campina-grande-pb,CAMPINA GRANDE / PB,5g,ativacao,2026-07-01,,225
campina-grande-pb,CAMPINA GRANDE / PB,ftth,instalacao,2026-07-01,,281
campina-grande-pb,CAMPINA GRANDE / PB,ftth,orcamento,2026-07-01,,379
campina-grande-pb,CAMPINA GRANDE / PB,ftth,efetivado,2026-07-01,,297
campo-maior-pi,CAMPO MAIOR / PI,ftth,orcamento,2026-07-01,,28
campo-maior-pi,CAMPO MAIOR / PI,ftth,efetivado,2026-07-01,,25
caninde-ce,CANINDE / CE,5g,ativacao,2026-07-01,,89
caninde-ce,CANINDE / CE,ftth,orcamento,2026-07-01,,60
caraubas-rn,CARAUBAS / RN,5g,ativacao,2026-07-01,,59
caruaru-pe,CARUARU / PE,5g,ativacao,2026-07-01,,269
caruaru-pe,CARUARU / PE,ftth,efetivado,2026-07-01,,254
caruaru-pe,CARUARU / PE,ftth,orcamento,2026-07-01,,314
cascavel-ce,CASCAVEL / CE,5g,ativacao,2026-07-01,,81
cascavel-ce,CASCAVEL / CE,ftth,orcamento,2026-07-01,,85
cascavel-ce,CASCAVEL / CE,ftth,efetivado,2026-07-01,,73
cascavel-ce,CASCAVEL / CE,ftth,instalacao,2026-07-01,,74
