cidade_slug,cidade_origem,mes_ref,meta
abaiara-ce,ABAIARA/CE,2026-01-01,43
abaiara-ce,ABAIARA/CE,2026-02-01,43
abaiara-ce,ABAIARA/CE,2026-03-01,43
abaiara-ce,ABAIARA/CE,2026-04-01,40
abaiara-ce,ABAIARA/CE,2026-05-01,37
abaiara-ce,ABAIARA/CE,2026-06-01,27
abaiara-ce,ABAIARA/CE,2026-07-01,41
abaiara-ce,ABAIARA/CE,2026-08-01,56
abaiara-ce,ABAIARA/CE,2026-09-01,56
abaiara-ce,ABAIARA/CE,2026-10-01,0
abaiara-ce,ABAIARA/CE,2026-11-01,0
abaiara-ce,ABAIARA/CE,2026-12-01,0
acarape-ce,ACARAPE/CE,2026-01-01,96
acarape-ce,ACARAPE/CE,2026-02-01,96
acarape-ce,ACARAPE/CE,2026-03-01,96
acarape-ce,ACARAPE/CE,2026-04-01,45
acarape-ce,ACARAPE/CE,2026-05-01,58
acarape-ce,ACARAPE/CE,2026-06-01,33
acarape-ce,ACARAPE/CE,2026-07-01,64
acarape-ce,ACARAPE/CE,2026-08-01,88
acarape-ce,ACARAPE/CE,2026-09-01,88
acarape-ce,ACARAPE/CE,2026-10-01,0
acarape-ce,ACARAPE/CE,2026-11-01,0
acarape-ce,ACARAPE/CE,2026-12-01,0
acarau-ce,ACARAU/CE,2026-01-01,143
acarau-ce,ACARAU/CE,2026-02-01,133
acarau-ce,ACARAU/CE,2026-03-01,117
acarau-ce,ACARAU/CE,2026-04-01,170
acarau-ce,ACARAU/CE,2026-05-01,191
acarau-ce,ACARAU/CE,2026-06-01,142
acarau-ce,ACARAU/CE,2026-07-01,212
acarau-ce,ACARAU/CE,2026-08-01,289
acarau-ce,ACARAU/CE,2026-09-01,289
acarau-ce,ACARAU/CE,2026-10-01,0
acarau-ce,ACARAU/CE,2026-11-01,0
acarau-ce,ACARAU/CE,2026-12-01,0
acari-rn,ACARI/RN,2026-01-01,48
acari-rn,ACARI/RN,2026-02-01,44
acari-rn,ACARI/RN,2026-03-01,52
acari-rn,ACARI/RN,2026-04-01,49
acari-rn,ACARI/RN,2026-05-01,64
acari-rn,ACARI/RN,2026-06-01,37
acari-rn,ACARI/RN,2026-07-01,71
acari-rn,ACARI/RN,2026-08-01,96
acari-rn,ACARI/RN,2026-09-01,96
acari-rn,ACARI/RN,2026-10-01,0
acari-rn,ACARI/RN,2026-11-01,0
acari-rn,ACARI/RN,2026-12-01,0
acopiara-ce,ACOPIARA/CE,2026-01-01,132
acopiara-ce,ACOPIARA/CE,2026-02-01,123
acopiara-ce,ACOPIARA/CE,2026-03-01,144
acopiara-ce,ACOPIARA/CE,2026-04-01,136
acopiara-ce,ACOPIARA/CE,2026-05-01,177
acopiara-ce,ACOPIARA/CE,2026-06-01,153
acopiara-ce,ACOPIARA/CE,2026-07-01,197
acopiara-ce,ACOPIARA/CE,2026-08-01,268
acopiara-ce,ACOPIARA/CE,2026-09-01,268
acopiara-ce,ACOPIARA/CE,2026-10-01,0
acopiara-ce,ACOPIARA/CE,2026-11-01,0
acopiara-ce,ACOPIARA/CE,2026-12-01,0
agua-nova-rn,AGUA NOVA/RN,2026-01-01,13
agua-nova-rn,AGUA NOVA/RN,2026-02-01,13
agua-nova-rn,AGUA NOVA/RN,2026-03-01,13
agua-nova-rn,AGUA NOVA/RN,2026-04-01,19
agua-nova-rn,AGUA NOVA/RN,2026-05-01,27
agua-nova-rn,AGUA NOVA/RN,2026-06-01,34
agua-nova-rn,AGUA NOVA/RN,2026-07-01,30
agua-nova-rn,AGUA NOVA/RN,2026-08-01,27
agua-nova-rn,AGUA NOVA/RN,2026-09-01,19
agua-nova-rn,AGUA NOVA/RN,2026-10-01,0
agua-nova-rn,AGUA NOVA/RN,2026-11-01,0
