cidade_slug,cidade_origem,mes_ref,meta
abreu-e-lima-pe,ABREU E LIMA/PE,2026-01-01,119
abreu-e-lima-pe,ABREU E LIMA/PE,2026-02-01,93
abreu-e-lima-pe,ABREU E LIMA/PE,2026-03-01,112
abreu-e-lima-pe,ABREU E LIMA/PE,2026-04-01,104
abreu-e-lima-pe,ABREU E LIMA/PE,2026-05-01,116
abreu-e-lima-pe,ABREU E LIMA/PE,2026-06-01,90
abreu-e-lima-pe,ABREU E LIMA/PE,2026-07-01,90
abreu-e-lima-pe,ABREU E LIMA/PE,2026-08-01,90
abreu-e-lima-pe,ABREU E LIMA/PE,2026-09-01,90
abreu-e-lima-pe,ABREU E LIMA/PE,2026-10-01,90
abreu-e-lima-pe,ABREU E LIMA/PE,2026-11-01,90
abreu-e-lima-pe,ABREU E LIMA/PE,2026-12-01,90
acarau-ce,ACARAU/CE,2026-01-01,93
acarau-ce,ACARAU/CE,2026-02-01,75
acarau-ce,ACARAU/CE,2026-03-01,88
acarau-ce,ACARAU/CE,2026-04-01,87
acarau-ce,ACARAU/CE,2026-05-01,101
acarau-ce,ACARAU/CE,2026-06-01,78
acarau-ce,ACARAU/CE,2026-07-01,78
acarau-ce,ACARAU/CE,2026-08-01,78
acarau-ce,ACARAU/CE,2026-09-01,78
acarau-ce,ACARAU/CE,2026-10-01,78
acarau-ce,ACARAU/CE,2026-11-01,78
acarau-ce,ACARAU/CE,2026-12-01,78
acopiara-ce,ACOPIARA/CE,2026-01-01,77
acopiara-ce,ACOPIARA/CE,2026-02-01,69
acopiara-ce,ACOPIARA/CE,2026-03-01,83
acopiara-ce,ACOPIARA/CE,2026-04-01,80
acopiara-ce,ACOPIARA/CE,2026-05-01,91
acopiara-ce,ACOPIARA/CE,2026-06-01,75
acopiara-ce,ACOPIARA/CE,2026-07-01,72
acopiara-ce,ACOPIARA/CE,2026-08-01,72
acopiara-ce,ACOPIARA/CE,2026-09-01,72
acopiara-ce,ACOPIARA/CE,2026-10-01,72
acopiara-ce,ACOPIARA/CE,2026-11-01,72
acopiara-ce,ACOPIARA/CE,2026-12-01,72
alagoinhas-ba,ALAGOINHAS/BA,2026-01-01,473
alagoinhas-ba,ALAGOINHAS/BA,2026-02-01,385
alagoinhas-ba,ALAGOINHAS/BA,2026-03-01,450
alagoinhas-ba,ALAGOINHAS/BA,2026-04-01,446
alagoinhas-ba,ALAGOINHAS/BA,2026-05-01,500
alagoinhas-ba,ALAGOINHAS/BA,2026-06-01,388
alagoinhas-ba,ALAGOINHAS/BA,2026-07-01,388
alagoinhas-ba,ALAGOINHAS/BA,2026-08-01,388
alagoinhas-ba,ALAGOINHAS/BA,2026-09-01,388
alagoinhas-ba,ALAGOINHAS/BA,2026-10-01,388
alagoinhas-ba,ALAGOINHAS/BA,2026-11-01,388
alagoinhas-ba,ALAGOINHAS/BA,2026-12-01,388
altos-pi,ALTOS/PI,2026-01-01,99
altos-pi,ALTOS/PI,2026-02-01,117
altos-pi,ALTOS/PI,2026-03-01,137
altos-pi,ALTOS/PI,2026-04-01,136
altos-pi,ALTOS/PI,2026-05-01,153
altos-pi,ALTOS/PI,2026-06-01,118
altos-pi,ALTOS/PI,2026-07-01,118
altos-pi,ALTOS/PI,2026-08-01,118
altos-pi,ALTOS/PI,2026-09-01,118
altos-pi,ALTOS/PI,2026-10-01,118
altos-pi,ALTOS/PI,2026-11-01,118
altos-pi,ALTOS/PI,2026-12-01,118
aquiraz-ce,AQUIRAZ/CE,2026-01-01,53
aquiraz-ce,AQUIRAZ/CE,2026-02-01,114
aquiraz-ce,AQUIRAZ/CE,2026-03-01,133
aquiraz-ce,AQUIRAZ/CE,2026-04-01,132
aquiraz-ce,AQUIRAZ/CE,2026-05-01,148
aquiraz-ce,AQUIRAZ/CE,2026-06-01,115
aquiraz-ce,AQUIRAZ/CE,2026-07-01,115
aquiraz-ce,AQUIRAZ/CE,2026-08-01,115
aquiraz-ce,AQUIRAZ/CE,2026-09-01,115
