cidade_slug,cidade_origem,canal,indicador_id,mes_ref,meta
acarau-ce,ACARAU/CE,LOJA,instalacao,2026-01-01,36
acarau-ce,ACARAU/CE,PAP,instalacao,2026-01-01,54
acopiara-ce,ACOPIARA/CE,LOJA,instalacao,2026-01-01,38
acopiara-ce,ACOPIARA/CE,PAP,instalacao,2026-01-01,18
acu-rn,ACU/RN,DONO CIDADE - LOJAS,instalacao,2026-01-01,51
acu-rn,ACU/RN,LOJA,instalacao,2026-01-01,13
agua-nova-rn,AGUA NOVA/RN,PAP,instalacao,2026-01-01,18
alagoinhas-ba,ALAGOINHAS/BA,LOJA,instalacao,2026-01-01,40
altos-pi,ALTOS/PI,DONO CIDADE - LOJAS,instalacao,2026-01-01,24
apodi-rn,APODI/RN,PAP,instalacao,2026-01-01,32
aracaju-se,ARACAJU/SE,LOJA,instalacao,2026-01-01,63
arapiraca-al,ARAPIRACA/AL,LOJA,instalacao,2026-01-01,20
araripina-pe,ARARIPINA / PE,PAP,instalacao,2026-01-01,56
araripina-pe,ARARIPINA/PE,DONO CIDADE - LOJAS,instalacao,2026-01-01,30
arcoverde-pe,ARCOVERDE / PE,PAP,instalacao,2026-01-01,57
arcoverde-pe,ARCOVERDE/PE,LOJA,instalacao,2026-01-01,12
assu-rn,ASSU / RN,PAP,instalacao,2026-01-01,28
banabuiu-ce,BANABUIU/CE,LOJA,instalacao,2026-01-01,30
barauna-rn,BARAUNA/RN,LOJA,instalacao,2026-01-01,13
barbalha-ce,BARBALHA/CE,LOJA,instalacao,2026-01-01,25
barbalha-ce,BARBALHA/CE,PAP,instalacao,2026-01-01,17
bayeux-pb,BAYEUX / PB,PAP,instalacao,2026-01-01,150
bayeux-pb,BAYEUX/PB,DONO CIDADE - LOJAS,instalacao,2026-01-01,21
belo-jardim-pe,BELO JARDIM / PE,PAP,instalacao,2026-01-01,67
belo-jardim-pe,BELO JARDIM/PE,LOJA,instalacao,2026-01-01,32
bezerros-pe,BEZERROS/PE,LOJA,instalacao,2026-01-01,34
bezerros-pe,BEZERROS/PE,PAP,instalacao,2026-01-01,19
bom-conselho-pe,BOM CONSELHO/PE,4 J LOJAS,instalacao,2026-01-01,14
brejo-santo-ce,BREJO SANTO/CE,LOJA,instalacao,2026-01-01,16
brejo-santo-ce,BREJO SANTO/CE,PAP,instalacao,2026-01-01,54
brejo-santo-ce,BREJO SANTO/CE,QUIOSQUES,instalacao,2026-01-01,18
cabedelo-pb,CABEDELO / PB,PAP,instalacao,2026-01-01,30
cabedelo-pb,CABEDELO/PB,LOJA,instalacao,2026-01-01,20
cabo-de-santo-agostinho-pe,CABO DE SANTO AGOSTINHO/PE,LOJA,instalacao,2026-01-01,30
caico-rn,CAICO / RN,PAP,instalacao,2026-01-01,56
caico-rn,CAICO/RN,LOJA,instalacao,2026-01-01,35
cajazeiras-pb,CAJAZEIRAS / PB,PAP,instalacao,2026-01-01,75
cajazeiras-pb,CAJAZEIRAS/PB,LOJA,instalacao,2026-01-01,63
camacari-ba,CAMACARI/BA,LOJA,instalacao,2026-01-01,32
campina-grande-pb,CAMPINA GRANDE / PB,PAP,instalacao,2026-01-01,256
campina-grande-pb,CAMPINA GRANDE/PB,LOJA,instalacao,2026-01-01,63
campo-maior-pi,CAMPO MAIOR/PI,DONO CIDADE - LOJAS,instalacao,2026-01-01,18
caninde-ce,CANINDE/CE,LOJA,instalacao,2026-01-01,29
caninde-ce,CANINDE/CE,PAP,instalacao,2026-01-01,90
caruaru-pe,CARUARU / PE,PAP,instalacao,2026-01-01,344
caruaru-pe,CARUARU/PE,LOJA,instalacao,2026-01-01,24
