cidade_slug,cidade_origem,tecnologia,mes_ref,total_vendedores,q1,q2,q3,q4,q5,sem_meta,atingimento_medio,quintil_cidade
acarau-ce,ACARAU/CE,ftth,2026-01-01,5,0,0,1,2,2,0,0.3556,4
acarau-ce,ACARAU/CE,5g,2026-01-01,5,0,1,1,3,0,0,0.555,4
acopiara-ce,ACOPIARA/CE,ftth,2026-01-01,3,0,2,0,1,0,0,0.769,3
acopiara-ce,ACOPIARA/CE,5g,2026-01-01,3,0,1,0,2,0,0,0.6333,3
acu-rn,ACU/RN,ftth,2026-01-01,4,2,0,0,2,0,0,0.8699,2
acu-rn,ACU/RN,5g,2026-01-01,4,2,2,0,0,0,0,1.1807,1
agua-nova-rn,AGUA NOVA/RN,ftth,2026-01-01,1,0,1,0,0,0,0,0.8889,2
agua-nova-rn,AGUA NOVA/RN,5g,2026-01-01,1,0,0,1,0,0,0,0.7,3
alagoinhas-ba,ALAGOINHAS/BA,ftth,2026-01-01,2,2,0,0,0,0,0,1.125,1
altos-pi,ALTOS/PI,ftth,2026-01-01,3,2,0,0,0,0,1,1.2917,1
apodi-rn,APODI/RN,ftth,2026-01-01,1,1,0,0,0,0,0,1.0625,1
apodi-rn,APODI/RN,5g,2026-01-01,3,1,1,0,0,0,1,1,1
aracaju-se,ARACAJU/SE,ftth,2026-01-01,3,2,1,0,0,0,0,1.127,1
arapiraca-al,ARAPIRACA/AL,ftth,2026-01-01,3,2,0,0,0,0,1,1.3,1
araripina-pe,ARARIPINA/PE,ftth,2026-01-01,4,2,0,1,0,1,0,0.8381,2
araripina-pe,ARARIPINA/PE,5g,2026-01-01,4,2,0,0,0,0,2,1.15,1
arcoverde-pe,ARCOVERDE/PE,ftth,2026-01-01,3,2,0,1,0,0,0,2.0714,1
arcoverde-pe,ARCOVERDE/PE,5g,2026-01-01,3,1,0,0,0,0,2,1,1
banabuiu-ce,BANABUIU/CE,ftth,2026-01-01,2,0,1,0,0,0,1,0.8333,2
banabuiu-ce,BANABUIU/CE,5g,2026-01-01,2,0,1,0,0,0,1,0.8085,2
barauna-rn,BARAUNA/RN,ftth,2026-01-01,1,1,0,0,0,0,0,1.0769,1
barauna-rn,BARAUNA/RN,5g,2026-01-01,1,1,0,0,0,0,0,1.7941,1
barbalha-ce,BARBALHA/CE,ftth,2026-01-01,3,0,1,0,0,1,1,0.5671,4
barbalha-ce,BARBALHA/CE,5g,2026-01-01,3,1,0,0,1,0,1,0.7472,3
bayeux-pb,BAYEUX/PB,ftth,2026-01-01,7,1,1,2,2,0,1,0.6984,3
bayeux-pb,BAYEUX/PB,5g,2026-01-01,7,1,0,0,0,0,6,1.1333,1
belo-jardim-pe,BELO JARDIM/PE,ftth,2026-01-01,6,0,0,0,4,1,1,0.4106,4
belo-jardim-pe,BELO JARDIM/PE,5g,2026-01-01,6,0,0,0,0,2,4,0.2273,5
bezerros-pe,BEZERROS/PE,ftth,2026-01-01,4,3,0,0,1,0,0,1.0131,1
bezerros-pe,BEZERROS/PE,5g,2026-01-01,4,2,0,0,0,2,0,1.165,1
bom-conselho-pe,BOM CONSELHO/PE,ftth,2026-01-01,2,1,0,0,1,0,0,0.7857,3
bom-conselho-pe,BOM CONSELHO/PE,5g,2026-01-01,2,0,0,2,0,0,0,0.6333,3
brejo-santo-ce,BREJO SANTO/CE,ftth,2026-01-01,5,4,0,0,1,0,0,1.0292,1
brejo-santo-ce,BREJO SANTO/CE,5g,2026-01-01,5,4,1,0,0,0,0,1.9105,1
cabedelo-pb,CABEDELO/PB,ftth,2026-01-01,3,2,1,0,0,0,0,1.2111,1
cabedelo-pb,CABEDELO/PB,5g,2026-01-01,3,1,0,0,1,0,1,0.9,2
cabo-de-santo-agostinho-pe,CABO DE SANTO AGOSTINHO/PE,ftth,2026-01-01,2,1,0,0,0,0,1,1.4,1
caico-rn,CAICO/RN,ftth,2026-01-01,4,1,1,0,1,1,0,0.6503,3
caico-rn,CAICO/RN,5g,2026-01-01,4,1,0,0,1,0,2,0.8167,2
cajazeiras-pb,CAJAZEIRAS/PB,ftth,2026-01-01,6,3,0,0,1,2,0,0.7848,3
cajazeiras-pb,CAJAZEIRAS/PB,5g,2026-01-01,6,1,0,0,1,1,3,0.5938,4
camacari-ba,CAMACARI/BA,ftth,2026-01-01,3,1,0,0,1,0,1,1.1563,1
campina-grande-pb,CAMPINA GRANDE/PB,ftth,2026-01-01,9,1,1,0,4,3,0,0.4284,4
campina-grande-pb,CAMPINA GRANDE/PB,5g,2026-01-01,9,1,0,0,1,1,6,0.563,4
campo-maior-pi,CAMPO MAIOR/PI,ftth,2026-01-01,2,2,0,0,0,0,0,1.1111,1
caninde-ce,CANINDE/CE,ftth,2026-01-01,7,1,2,1,1,1,1,0.675,3
caninde-ce,CANINDE/CE,5g,2026-01-01,7,1,1,1,3,0,1,0.6101,3
caruaru-pe,CARUARU/PE,ftth,2026-01-01,12,1,1,0,5,4,1,0.452,4
caruaru-pe,CARUARU/PE,5g,2026-01-01,12,1,0,0,0,0,11,1.619,1
cascavel-ce,CASCAVEL/CE,ftth,2026-01-01,5,1,1,0,0,2,1,0.6242,3
cascavel-ce,CASCAVEL/CE,5g,2026-01-01,5,4,0,0,0,0,1,1.6964,1
catole-do-rocha-pb,CATOLE DO ROCHA/PB,ftth,2026-01-01,4,2,0,1,1,0,0,1.0278,1
catole-do-rocha-pb,CATOLE DO ROCHA/PB,5g,2026-01-01,4,2,0,0,1,1,0,0.6547,3
catu-ba,CATU/BA,ftth,2026-01-01,1,1,0,0,0,0,0,1.1667,1
caucaia-ce,CAUCAIA/CE,ftth,2026-01-01,8,1,0,1,5,1,0,0.5563,4
caucaia-ce,CAUCAIA/CE,5g,2026-01-01,8,1,0,1,0,0,6,0.9158,2
ceara-mirim-rn,CEARA-MIRIM/RN,ftth,2026-01-01,3,1,0,1,1,0,0,0.7749,3
ceara-mirim-rn,CEARA-MIRIM/RN,5g,2026-01-01,3,2,0,0,0,0,1,1.2889,1
cedro-ce,CEDRO/CE,ftth,2026-01-01,3,0,0,1,2,0,0,0.463,4
